Customer Type,Comments,Identified_Language,Translated_Language,Response,Categorisation,Sentiment,Sector,Flight No,Flight Date,Cabin Class,Seat No,Aircraft Version,Tail No,FFP Member,Gender,Age,Country,sentiment,sentiment_score,keywords,keywords_label,keywords_relevance,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,concepts_text,concepts_relevance
Promoter,Bkg Site: Appreciate Comments,en,Ease of use,Ease of use,User-friendly / speedy,Positive,MRU-SIN,NK0646,06/02/2019,ECONOMY,040E,332,3BNBM,NO,Male,45-54,Mauritius,neutral,0,Ease of use,neutral,0.5,0.088924,0.057955,0.096176,0.389608,0.084218,,
Passive,Bkg Site: Appreciate Comments,fr,The facility to book the ticket. Register online directly. ,La facilité pour réserver le billet. s'enregistrer en ligne directement. ,User-friendly / speedy,Positive,MRU-ZSE,NK0256,05/02/2019,ECONOMY,004F,AT7,3BNBG,NO,,,,neutral,0,facility,neutral,0.931477,0.068254,0.030029,0.055153,0.339421,0.092429,,
Promoter,Bkg Site: Appreciate Comments,es,I simplicité. clarite ,simplicité. clarté ,User-friendly / speedy,Positive,JNB-MRU,NK0852,05/02/2019,BUSINESS,001E,343C,3BNBE,NO,Female,45-54,Hong Kong,neutral,0,clarite,neutral,0.5,0.090183,0.072571,0.102866,0.151539,0.164527,,
Detractor,Bkg Site: Improve Comments,en,The look is outdated,The look is outdated,other,Negative,CPT-MRU,NK0844,05/02/2019,ECONOMY,019B,343C,3BNBD,NO,Female,45-54,South Africa,neutral,0,look,neutral,0.5,0.072329,0.12301,0.061321,0.259912,0.109562,The Look,0.91136
Passive,Bkg Site: Improve Comments,en,Many things can be improved...,Many things can be improved...,other,Negative,MRU-RUN,NK0248,05/02/2019,ECONOMY,011A,AT7,3BNBN,NO,Male,45-54,Singapore,positive,0.645476,things,positive,0.844133,0.055137,0.032764,0.11052,0.291231,0.18021,,
Promoter,Bkg Site: Appreciate Comments,en,Easy and quick,Easy and quick,User-friendly / speedy,Positive,MRU-BLR,NK0746,04/02/2019,ECONOMY,040C,343C,3BNAU,NO,Female,65-75,South Africa,positive,0.907037,,,,0.029349,0.014832,0.082511,0.607779,0.050855,,
Passive,Bkg Site: Improve Comments,en,I am sure you don't need me. To tell you,I am sure you don't need me. To tell you,other,,MRU-RUN,NK0248,05/02/2019,ECONOMY,011A,AT7,3BNBN,NO,Male,45-54,Singapore,positive,0.455566,,,,0.297393,0.018687,0.05978,0.104803,0.128579,,
Detractor,Bkg Site: Improve Comments,en,Theee should be indication as to whenever a cisa is required,Theee should be indication as to whenever a cisa is required,other,Negative,MRU-BOM,NK0748,02/03/2019,ECONOMY,020G,343C,3BNAU,NO,Male,45-54,Mauritius,positive,0.72881,indication,positive,0.812132,0.099026,0.025867,0.117919,0.17607,0.150638,,
Detractor,Bkg Site: Improve Comments,en,New website is silly and a downgrade from the previous system ,New website is silly and a downgrade from the previous system ,other,Negative,LHR-MRU,NK0053,01/03/2019,ECONOMY,021A,343C,3BNAU,NO,Female,35-44,United Kingdom,negative,-0.752241,New website,negative,0.999058,0.138141,0.102391,0.156397,0.300154,0.133117,,
Promoter,Bkg Site: Improve Comments,fr,Often repeat the same information between booking and recording. As memre KF I should not always repeat this,il faut souvent répéter les mêmes information entre le booking et l'enregistrement. en tant que memre KF je ne devrais pas à refaire systématiquement cela,Staff service,Negative,MRU-TNR,NK0288,01/03/2019,ECONOMY,016C,343C,3BNBE,YES,Male,65-75,France,negative,-0.627886,memre KF,negative,0.999026,0.084125,0.054232,0.109905,0.085016,0.199838,,
Passive,Bkg Site: Appreciate Comments,fr,All,Tout,other,Positive,MRU-LHR,NK0042,09/03/2019,ECONOMY,017G,343C,3BNBD,NO,Female,55-64,France,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Promoter,Bkg Site: Appreciate Comments,fr,Simplicity of the quote,Simplicité du cite,User-friendly / speedy,Positive,RUN-MRU,NK0219,08/03/2019,ECONOMY,018E,359,3BNBP,NO,Male,55-64,Mayotte,positive,0.968324,Simplicity of the quote,positive,0.5,0.041241,0.019849,0.044715,0.760338,0.109019,,
Promoter,Bkg Site: Appreciate Comments,fr,Clarity of the site.,la clarté du site.,User-friendly / speedy,Positive,RUN-MRU,NK0219,08/03/2019,ECONOMY,007E,359,3BNBP,NO,Male,55-64,Reunion,neutral,0,Clarity of the site,neutral,0.5,0.229837,0.062674,0.096952,0.137648,0.128591,,
Promoter,Bkg Site: Appreciate Comments,fr,Clarity. ,Clarté. ,User-friendly / speedy,Positive,MRU-CDG,NK0034,07/03/2019,ECONOMY,019E,359C,3BNBQ,NO,Male,45-54,Reunion,positive,0.803528,Clarity,positive,0.997527,0.0,0.0,0.0,0.0,0.0,,
Detractor,Bkg Site: Improve Comments,en,You have to bring in a UX person. Your website is not at all user friendly. If you push the back button. you have to make the search from scratch again. No info is saved.,You have to bring in a UX person. Your website is not at all user friendly. If you push the back button. you have to make the search from scratch again. No info is saved.,other,Negative,MRU-CDG,NK0034,07/03/2019,ECONOMY,,359C,3BNBQ,NO,Female,35-44,Sweden,negative,-0.701547,back button,neutral,0.75789,0.142586,0.026547,0.06455,0.407048,0.296773,Montgomery Clift,0.878864
Detractor,Bkg Site: Improve Comments,en,Accuracy ,Accuracy ,other,Positive,KUL-MRU,NK0647,07/03/2019,BUSINESS,001E,332,3BNBL,NO,Male,45-54,Australia,positive,0.869263,Accuracy,positive,0.997527,0.0,0.0,0.0,0.0,0.0,,
Promoter,Bkg Site: Improve Comments,en,Site went down in final stages of booking entailing a restart. Unable to get boarding pass online for one person. site saying he was inhibited,Site went down in final stages of booking entailing a restart. Unable to get boarding pass online for one person. site saying he was inhibited,other,Negative,PER-MRU,NK0441,06/03/2019,ECONOMY,015F,332,3BNBL,NO,Female,65-75,Australia,negative,-0.891144,final stages of booking,negative,0.859386,0.136127,0.06355,0.167555,0.05751,0.731323,The Devil Went Down to Georgia,0.895888
Detractor,Bkg Site: Improve Comments,en,When we put our dates. on the right side. we see the total price but the selected dates do not appear on the horizontal upper different dates and price ,When we put our dates. on the right side. we see the total price but the selected dates do not appear on the horizontal upper different dates and price ,other,Negative,MRU-SIN,NK0646,06/03/2019,ECONOMY,015B,332,3BNBL,NO,Female,45-54,Mauritius,negative,-0.605096,total price,negative,0.987194,0.09397,0.248982,0.009391,0.143665,0.093583,French Revolution,0.901984
Detractor,Bkg Site: Improve Comments,en,Allow me to book a seat next to my husband seeing that we are both gold card members and we book months in advance,Allow me to book a seat next to my husband seeing that we are both gold card members and we book months in advance,Inability to do seat reservation,Positive,PER-MRU,NK0441,06/03/2019,BUSINESS,004A,332,3BNBL,NO,Female,55-64,Australia,positive,0.7821,gold card members,positive,0.962487,0.047,0.260668,0.036214,0.129143,0.275096,Paper,0.849089
Promoter,Bkg Site: Appreciate Comments,en,Easy to use,Easy to use,User-friendly / speedy,Positive,MRU-PER,NK0440,05/03/2019,ECONOMY,030B,332,3BNBL,NO,Female,35-44,Australia,positive,0.658745,,,,0.03352,0.01883,0.054974,0.512604,0.03766,,
Detractor,Bkg Site: Appreciate Comments,en,Straight forward. Not complicated to use the website - user friendly.,Straight forward. Not complicated to use the website - user friendly.,User-friendly / speedy,Positive,TNR-MRU,NK0289,05/03/2019,ECONOMY,041H,343C,3BNAU,NO,Male,55-64,Mauritius,positive,0.581428,website,neutral,0.716157,0.165639,0.011974,0.036856,0.324009,0.229148,2006 albums,0.865585
,Bkg Site: Appreciate Comments,fr,Claim for a broken new suitcase. ,Demande dédommagement pour une valise neuve cassée. ,Baggage information,Negative,MRU-BOM,NK0748,05/03/2019,ECONOMY,011C,343C,3BNAU,NO,Male,45-54,Reunion,negative,-0.882141,Claim,negative,0.937512,0.202415,0.096761,0.203615,0.056058,0.607839,,
Promoter,Bkg Site: Appreciate Comments,fr,We are really satisfied. ,Nous sommes vraiment satisfaits. ,other,Positive,MRU-TNR,NK0288,05/03/2019,ECONOMY,017H,343C,3BNAU,NO,Male,55-64,Madagascar,positive,0.978324,,,,0.062562,0.126686,0.005262,0.746407,0.092083,,
Promoter,Bkg Site: Appreciate Comments,en,Dont threaten me that price will go up if I dont pay immediately upon booking ,Dont threaten me that price will go up if I dont pay immediately upon booking ,other,Negative,MRU-PVG,NK0688,12/03/2019,ECONOMY,015B,343C,3BNBE,NO,Male,55-64,Republic of China,negative,-0.901915,price,negative,0.727224,0.319715,0.141543,0.390024,0.123706,0.085162,,
Promoter,Bkg Site: Appreciate Comments,en,Try to issue visas as well. mainly Australian visa,Try to issue visas as well. mainly Australian visa,Other,Neutral,MRU-PER,NK0440,12/03/2019,ECONOMY,020G,332,3BNBL,NO,Male,35-44,Mauritius,neutral,0,Australian visa,neutral,0.951319,0.264469,0.039624,0.127853,0.148761,0.109213,Visas,0.844478
Promoter,Bkg Site: Improve Comments,en,Complex when booking seats and meals as well as lounge. Had to go back several times when having to select seats. - This could be more easy friendly.,Complex when booking seats and meals as well as lounge. Had to go back several times when having to select seats. - This could be more easy friendly.,Inability to do seat reservation,Negative,MRU-JNB,NK0851,16/03/2019,ECONOMY,037J,359C,3BNBP,NO,Female,26-34,Mauritius,positive,0.302797,times,neutral,0.617582,0.030018,0.04616,0.035475,0.383671,0.474735,Music magazines,0.869124
,Bkg Site: Appreciate Comments,en,Clear detailed easy procedures,Clear detailed easy procedures,User-friendly / speedy,Positive,MRU-JNB,NK0851,16/03/2019,BUSINESS,004J,359C,3BNBP,NO,Male,45-54,Mauritius,positive,0.90631,detailed easy procedures,positive,0.5,0.030217,0.021438,0.046297,0.433588,0.021966,1969 albums,0.863741
Promoter,Bkg Site: Appreciate Comments,en,Very Quick reply,Very Quick reply,User-friendly / speedy,Positive,CDG-MRU,NK0045,15/03/2019,ECONOMY,044J,359C,3BNBP,NO,Male,22-25,Mauritius,positive,0.760436,Quick reply,positive,0.5,0.10141,0.061942,0.070366,0.243003,0.068091,,
Promoter,Bkg Site: Appreciate Comments,en,Handling of customers need to be improved mm,Handling of customers need to be improved mm,other,Negative,MRU-LHR,NK0042,15/03/2019,ECONOMY,032E,343C,3BNBD,NO,Male,65-75,Mauritius,neutral,0,Handling of customers,neutral,0.5,0.035815,0.018682,0.067599,0.186605,0.072479,,
Passive,Bkg Site: Appreciate Comments,en,Give more comfortable seats to people aged 60 and over.,Give more comfortable seats to people aged 60 and over.,other,Negative,MRU-LHR,NK0042,15/03/2019,ECONOMY,030H,343C,3BNBD,NO,Male,76 & over,Mauritius,neutral,0,comfortable seats,neutral,0.97509,0.163927,0.222903,0.035676,0.212388,0.293953,,
Passive,Bkg Site: Appreciate Comments,en,It is easily done ,It is easily done ,User-friendly / speedy,Positive,MRU-RUN,NK0218,15/03/2019,ECONOMY,014H,343C,3BNBD,NO,Female,26-34,Mauritius,positive,0.906305,,,,0.072108,0.053701,0.21486,0.22461,0.21581,,
Passive,Bkg Site: Appreciate Comments,fr,Register for business class clients ,Guichet enregistrement pour les clients en classe business ,other,,MRU-BOM,NK0748,14/03/2019,BUSINESS,003F,332,3BNBM,NO,Male,55-64,Madagascar,positive,0.668309,business class clients,positive,0.971924,0.094306,0.031821,0.02864,0.651902,0.093065,,
Promoter,Bkg Site: Appreciate Comments,fr,Simplicity ,Simplicité ,User-friendly / speedy,Positive,ZSE-MRU,NK0227,14/03/2019,ECONOMY,012C,AT7,3BNBN,YES,Male,65-75,Reunion,positive,0.993181,Simplicity,positive,0.997527,0.0,0.0,0.0,0.0,0.0,,
Promoter,Bkg Site: Improve Comments,fr,Unable to perform RUN LHR direct resent,Impossible deffectuer une resevation direct RUN LHR,Inability to do seat reservation,Negative,RUN-MRU,NK0239,14/03/2019,ECONOMY,032B,332,3BNBL,NO,Male,35-44,Reunion,negative,-0.706208,RUN LHR,negative,0.5,0.157956,0.011315,0.142144,0.047584,0.693576,,
Detractor,Bkg Site: Appreciate Comments,fr,Values since I was ranked following a transfer from Air Austral ,valorise puisque j'ai été sur classée suite à un transfert d'Air Austral ,other,,DUR-MRU,NK0846,13/03/2019,ECONOMY,015C,319,3BNBF,NO,Female,45-54,Mauritius,neutral,0,Values,neutral,0.899735,0.124419,0.029477,0.038539,0.091815,0.226917,Air Austral,0.886784
Detractor,Bkg Site: Appreciate Comments,fr,Your Delays Too Repeated,Vos retards trop répétés,Delay,Negative,RUN-MRU,NK0239,13/03/2019,ECONOMY,016B,343C,3BNAU,NO,Male,26-34,Reunion,negative,-0.777861,Delays,negative,0.980057,0.225899,0.106291,0.07059,0.023239,0.6359,,
Passive,Bkg Site: Improve Comments,en,If only you could change the flight departure from Mumbai to a little later like 9am,If only you could change the flight departure from Mumbai to a little later like 9am,other,,MRU-RUN,NK0238,13/03/2019,ECONOMY,010G,343C,3BNAU,NO,Male,65-75,Reunion,neutral,0,flight departure,neutral,0.969095,0.052456,0.035653,0.035117,0.125393,0.078144,,
Promoter,Bkg Site: Appreciate Comments,fr,Attention to delays in takeoffs that remain binding on customers ,Attention aux retards de décollages qui restent contraignants pour les clients ,Delay,Negative,BOM-MRU,NK0749,13/03/2019,ECONOMY,036A,332,3BNBM,NO,Female,55-64,India,neutral,0,Attention,neutral,0.899735,0.177108,0.071269,0.067618,0.112829,0.443037,Binding problem,0.9044
Detractor,Bkg Site: Appreciate Comments,en,Friendly ,Friendly ,User-friendly / speedy,Positive,PER-MRU,NK0441,13/03/2019,ECONOMY,039H,332,3BNBL,NO,Male,55-64,Australia,positive,0.950785,,,,0.0,0.0,0.0,0.880435,0.0,,
Promoter,Bkg Site: Appreciate Comments,fr,Regards,Regards,None,,RRG-MRU,NK0121,13/03/2019,ECONOMY,003C,AT7,3BNBO,NO,,,,positive,0.845825,Regards,positive,0.5,0.0,0.0,0.0,0.0,0.0,,
Promoter,Bkg Site: Appreciate Comments,en,It needs to work - especially on a long flight like this,It needs to work - especially on a long flight like this,other,,JNB-MRU,NK0852,12/03/2019,BUSINESS,006E,343C,3BNBE,NO,Male,45-54,South Africa,neutral,0,long flight,neutral,0.998517,0.158948,0.06637,0.135566,0.055428,0.441887,Force,0.859222
Detractor,Bkg Site: Appreciate Comments,en,I did not make use of the inflight intertainment.,I did not make use of the inflight intertainment.,other,Neutral,MRU-JNB,NK0851,12/03/2019,ECONOMY,027H,343C,3BNBE,NO,Male,35-44,Mauritius,neutral,0,use of the inflight intertainment,neutral,0.5,0.090183,0.072571,0.102866,0.151539,0.164527,,
Passive,Bkg Site: Appreciate Comments,en,The visibility on the best offer for different days,The visibility on the best offer for different days,other,Positive,MRU-BOM,NK0748,22/03/2019,ECONOMY,016B,332,3BNBL,NO,Male,45-54,Mauritius,positive,0.85624,different days,positive,0.99075,0.013943,0.003877,0.00954,0.7998,0.049203,2006 albums,0.844978
Detractor,Bkg Site: Appreciate Comments,en,No problem using it and excellent support from the Kestrel Team,No problem using it and excellent support from the Kestrel Team,User-friendly / speedy,Positive,MRU-JNB,NK0851,22/03/2019,ECONOMY,001A,359C,3BNBP,YES,Female,35-44,Mauritius,positive,0.883795,problem,positive,0.899735,0.011193,0.095675,0.001857,0.702452,0.012646,Westmark,0.833558
Promoter,Bkg Site: Appreciate Comments,pt,RAS,RAS,Other,Neutral,MRU-CDG,NK0034,22/03/2019,BUSINESS,007E,359C,3BNBP,NO,Male,65-75,France,neutral,0,RAS,neutral,0.5,0.0,0.0,0.0,0.0,0.0,,
Promoter,Bkg Site: Appreciate Comments,en,Level of detail and good baggage allowance ,Level of detail and good baggage allowance ,Baggage information,Positive,LHR-MRU,NK0053,22/03/2019,ECONOMY,021H,343C,3BNBE,NO,Male,45-54,United Kingdom,positive,0.657077,Level of detail,positive,0.974544,0.032258,0.076834,0.05438,0.508563,0.019446,,
Detractor,Bkg Site: Appreciate Comments,en,Waive penalty for kestral flyer members in case of changing dates.,Waive penalty for kestral flyer members in case of changing dates.,other,Neutral,MRU-KUL,NK0646,22/03/2019,BUSINESS,002A,332,3BNBM,YES,Male,55-64,South Africa,neutral,0,kestral flyer members,neutral,0.980551,0.097171,0.195488,0.083155,0.055483,0.299529,Dave Schultz,0.85853
Promoter,Bkg Site: Appreciate Comments,fr,Simplicity and responsiveness in case of concern ,Simplicité et réactivité en cas de souci ,User-friendly / speedy,Positive,CDG-MRU,NK0045,21/03/2019,ECONOMY,042A,359C,3BNBP,NO,Male,45-54,France,positive,0.87139,case of concern,positive,0.950288,0.057185,0.054966,0.109446,0.286966,0.159977,,
Detractor,Bkg Site: Appreciate Comments,en,Easy,Easy,User-friendly / speedy,Positive,MRU-RRG,NK0120,20/03/2019,ECONOMY,018D,AT7,3BNBG,NO,Male,35-44,Romania,positive,0.93166,,,,0.0,0.0,0.0,0.851351,0.0,,
Promoter,Bkg Site: Appreciate Comments,fr,Fairly simple and understandable ,assez simple et compréhensible ,User-friendly / speedy,Positive,MRU-RUN,NK0238,20/03/2019,ECONOMY,004G,343C,3BNAU,NO,Male,55-64,Reunion,positive,0.897628,,,,0.235219,0.031261,0.038712,0.681295,0.066329,,
Promoter,Bkg Site: Appreciate Comments,en,Easy to navigate website. detailed information provided ,Easy to navigate website. detailed information provided ,User-friendly / speedy,Positive,CDG-MRU,NK0045,19/03/2019,BUSINESS,002A,359C,3BNBP,NO,Female,45-54,Italy,positive,0.627257,detailed information,neutral,0.999861,0.039425,0.02219,0.035522,0.203854,0.075756,,
Detractor,Bkg Site: Improve Comments,fr,Big bug at the time of reserve......site too complicated. I was having two fingers to leave to see Air Austral,Gros bug au moment de reserver......site trop compliquer . j'étais a deux doigts de partir voir Air Austral,Delay,Negative,RUN-MRU,NK0239,27/03/2019,ECONOMY,010F,AT7,3BNBG,NO,Female,45-54,Mauritius,negative,-0.94514,Big bug,negative,0.981049,0.214024,0.555955,0.220308,0.057257,0.255093,Air Austral,0.886784
Promoter,Bkg Site: Improve Comments,en,Better communication. My booking experience should have been straight forward but there was poor communication and I was sent up and down the stairs. then queued again to book my ticket. the agent was very unhelpful.,Better communication. My booking experience should have been straight forward but there was poor communication and I was sent up and down the stairs. then queued again to book my ticket. the agent was very unhelpful.,Poor communication,Negative,MRU-RRG,NK0130,27/03/2019,ECONOMY,004F,AT7,3BNBO,NO,Female,65-75,Mauritius,negative,-0.629138,booking experience,negative,0.993775,0.042409,0.004716,0.082982,0.052519,0.574433,Book,0.886784
Passive,Bkg Site: Appreciate Comments,en,Ease and cost ,Ease and cost ,User-friendly / speedy,Positive,DUR-MRU,NK0846,27/03/2019,BUSINESS,003A,14-Nov-00,3BNBH,NO,Female,55-64,South Africa,positive,0.62564,Ease,positive,0.980057,0.135106,0.039834,0.097944,0.29404,0.068647,,
Promoter,Bkg Site: Appreciate Comments,fr,Tracking my reservation and the seriousness of the schedules,Le suivi de ma réservation et le sérieux des horaires,Good service,Positive,CDG-MRU,NK0045,27/03/2019,ECONOMY,027J,359C,3BNBP,NO,,,,neutral,0,seriousness of the schedules,neutral,0.925806,0.096689,0.010591,0.034013,0.09354,0.100035,,
Detractor,Bkg Site: Improve Comments,fr,Lots of people in the office for only 10 clients and it lasted 90 minutes,Beaucoup de personnes dans le bureau pour seulement 10 clients et ça a duré 90 minutes,other,Negative,MRU-PER,NK0440,26/03/2019,BUSINESS,002G,27-Nov-00,3BNBL,YES,Male,55-64,Mauritius,negative,-0.767756,Lots of people,negative,0.99987,0.119318,0.039503,0.093616,0.403024,0.372898,Ricky Gervais,0.9072
Passive,Bkg Site: Improve Comments,en,Make it easier / quicker to find; other affiliated sites come first and Air Mauritius.com is lost in the crowd. ,Make it easier / quicker to find; other affiliated sites come first and Air Mauritius.com is lost in the crowd. ,other,Negative,SIN-MRU,NK0647,26/03/2019,ECONOMY,023B,27-Nov-00,3BNBL,YES,Male,55-64,Thailand,negative,-0.459536,Air Mauritius.com,negative,0.729545,0.089241,0.576267,0.081974,0.208579,0.195722,,
Promoter,Bkg Site: Appreciate Comments,en,Your marketing system is really good.,Your marketing system is really good.,Good service,Positive,MRU-JNB,NK0851,06/04/2019,ECONOMY,019E,359C,3BNBP,NO,Male,55-64,Mauritius,positive,0.977127,marketing system,positive,0.5,0.028896,0.014567,0.05225,0.846993,0.068843,,
Promoter,Bkg Site: Appreciate Comments,en,The price and new plane,The price and new plane,Pricing,Positive,CDG-MRU,NK0045,05/04/2019,ECONOMY,040G,359C,3BNBP,NO,Male,35-44,Spain,neutral,0,new plane,neutral,0.97332,0.041668,0.16528,0.151496,0.460241,0.127534,The Price,0.857329
Promoter,Bkg Site: Appreciate Comments,en,User friendly website ,User friendly website ,User-friendly / speedy,Positive,RUN-MRU,NK0239,05/04/2019,ECONOMY,001F,319,3BNBF,NO,Male,55-64,Mauritius,positive,0.653164,friendly website,positive,0.97332,0.11338,0.005753,0.05173,0.445292,0.164318,,
Promoter,Bkg Site: Improve Comments,en,The mobile site needs an update.,The mobile site needs an update.,Update,Negative,KUL-MRU,NK0647,04/04/2019,ECONOMY,,332,3BNBL,NO,Male,26-34,Australia,neutral,0,mobile site,neutral,0.999322,0.120534,0.051088,0.106023,0.034172,0.29543,Mobile River,0.91136
Promoter,Bkg Site: Appreciate Comments,fr,No recu code Wifi!!! !!!,Pas recu code Wifi !!!!!!,Other,Negative,TNR-MRU,NK0289,04/04/2019,BUSINESS,006D,359C,3BNBP,NO,Male,45-54,Madagascar,negative,-0.955611,recu code Wifi,negative,0.5,0.185623,0.015504,0.009142,0.263607,0.353629,Federal Communications Commission,0.855239
Detractor,Bkg Site: Appreciate Comments,en,Ease of navigation.,Ease of navigation.,User-friendly / speedy,Positive,MRU-ZSE,NK0226,04/04/2019,ECONOMY,012D,AT7,3BNBN,NO,Male,26-34,Mauritius,neutral,0,Ease of navigation,neutral,0.5,0.083449,0.050909,0.130801,0.40333,0.11042,,
Promoter,Bkg Site: Appreciate Comments,eo,La,La,None,Neutral,RUN-MRU,NK0239,04/04/2019,ECONOMY,019A,319,3BNBH,NO,Female,35-44,Reunion,positive,0.512981,La,positive,0.997527,0.0,0.0,0.0,0.0,0.0,,
Detractor,Bkg Site: Appreciate Comments,en,website user friendly and i always buy my tickets online.. save time and i adhere completely,website user friendly and i always buy my tickets online.. save time and i adhere completely,User-friendly / speedy,Positive,MRU-RUN,NK0238,03/04/2019,ECONOMY,009H,343C,3BNAU,NO,Female,26-34,Mauritius,positive,0.777107,website user,positive,0.997088,0.176569,0.018862,0.026599,0.344048,0.437216,,
Promoter,Bkg Site: Appreciate Comments,en,I always book on line . for me it is very important .,I always book on line . for me it is very important .,Other,Positive,MRU-CDG,NK0034,03/04/2019,ECONOMY,017H,343C,3BNAU,NO,Female,65-75,Switzerland,positive,0.959614,,,,0.127385,0.039235,0.050161,0.574318,0.172014,,
Passive,Bkg Site: Appreciate Comments,en,Flight update and delay notice.,Flight update and delay notice.,Update,Positive,PER-MRU,NK0441,03/04/2019,ECONOMY,014C,332,3BNBL,YES,Male,45-54,Australia,negative,-0.910783,Flight update,negative,0.988348,0.156471,0.074844,0.055893,0.004291,0.485798,,
Detractor,Bkg Site: Improve Comments,en,Provide better customer service,Provide better customer service,Other,Positive,CDG-MRU,NK0047,03/04/2019,ECONOMY,031D,359C,3BNBP,NO,Female,35-44,United Kingdom,positive,0.902283,better customer service,positive,0.5,0.061948,0.025877,0.011103,0.351683,0.057606,Customer service,0.945319
Detractor,Bkg Site: Improve Comments,en,toujours down.,toujours down.,Other,Negative,JNB-MRU,NK3852,03/04/2019,ECONOMY,012H,343C,3BNBD,NO,Male,,,negative,-0.75202,toujours,negative,0.997527,0.0,0.0,0.0,0.0,0.0,,
Detractor,Bkg Site: Improve Comments,fr,"We had reserved and paid for the places called comfort in the class, which have nothing more than the others! ",Nous avions reserver et payer des places dites confort en classevéci qui nont rien de plus que les autres! ,Poor service,Neutral,MRU-CDG,NK0034,03/04/2019,ECONOMY,029G,343C,3BNAU,NO,Female,45-54,France,negative,-0.720106,places,negative,0.676053,0.193394,0.034144,0.033115,0.583046,0.197963,Ilmar Raag,0.834272
Detractor,Bkg Site: Improve Comments,en,The whole website is terrible. Take a look at your competition like BA and Emirates and youll see what needs improving ,The whole website is terrible. Take a look at your competition like BA and Emirates and youll see what needs improving ,Terrible website,Negative,CDG-MRU,NK0047,03/04/2019,ECONOMY,,359C,3BNBP,NO,Female,35-44,United Kingdom,negative,-0.850688,whole website,negative,0.881913,0.363684,0.349554,0.081426,0.060728,0.131023,,
Promoter,Bkg Site: Improve Comments,en,Does not work well on mobile devices. Cannot change or review seats in Manage Booking,Does not work well on mobile devices. Cannot change or review seats in Manage Booking,Update,Negative,PER-MRU,NK0441,03/04/2019,BUSINESS,003A,332,3BNBL,NO,Male,,Australia,neutral,0,mobile devices,neutral,0.969154,0.013019,0.02436,0.127188,0.077145,0.53844,Mobile device,0.91136
Promoter,Bkg Site: Appreciate Comments,en,Traveling since 4 years. first experience on board with Air Mauritius. fantastic as good as the 95 year old Czech Airlines services. ,Traveling since 4 years. first experience on board with Air Mauritius. fantastic as good as the 95 year old Czech Airlines services. ,Good service,Positive,MRU-SIN,NK0646,03/04/2019,ECONOMY,017A,332,3BNBL,NO,Male,26-34,Mauritius,positive,0.983932,first experience,neutral,0.792533,0.040394,0.038925,0.009558,0.779331,0.105206,Mauritius,0.9044
Detractor,Bkg Site: Improve Comments,en,The counter lady did not even tell me I was going through Singapore before reaching Kuala Lumpur. I even asked her and her reply was only that it was a direct flight. ,The counter lady did not even tell me I was going through Singapore before reaching Kuala Lumpur. I even asked her and her reply was only that it was a direct flight. ,Poor customer service,Negative,MRU-KUL,NK0646,02/04/2019,ECONOMY,005B,343C,3BNBD,NO,Male,26-34,Mauritius,negative,-0.856105,counter lady,negative,0.994618,0.122571,0.023484,0.035966,0.056478,0.614037,Kuala Lumpur,0.945408
Detractor,Bkg Site: Improve Comments,en,Revamp it completely....it's serious outdated and not quite responsive...,Revamp it completely....it's serious outdated and not quite responsive...,Update,Negative,MRU-SIN,NK0646,02/04/2019,ECONOMY,028B,343C,3BNBD,NO,Male,55-64,Singapore,negative,-0.947702,,,,0.427237,0.167055,0.187937,0.075816,0.279311,,
Detractor,Bkg Site: Improve Comments,en,Sales agent should not be saying the plane is old. ,Sales agent should not be saying the plane is old. ,Other,Negative,KUL-MRU,NK0647,02/04/2019,ECONOMY,009B,343C,3BNBD,NO,Male,45-54,Malaysia,negative,-0.872834,Sales agent,negative,0.999999,0.094727,0.054419,0.270041,0.166007,0.297153,Plane,0.91136
Promoter,Bkg Site: Appreciate Comments,en,None,None,None,,MRU-NBO,NK0534,13/04/2019,ECONOMY,022A,319,3BNBH,NO,Male,35-44,Kenya,negative,-0.911489,None,negative,0.997527,0.0,0.0,0.0,0.0,0.0,,
Passive,Bkg Site: Improve Comments,fr,Non-refundable non-refundable statement does not appear and when I wanted to exchange my return flight I was told that I had bought a promo ticket but no choice at booking ,Mention non échangeable non remboursable napparaît pas et lorsque jai voulu échanger mon vol retour on ma répondu que javais acheté un billet promo mais aucun choix lors de la réservation ,Lack of insights,Negative,MRU-ZSE,NK0226,13/04/2019,ECONOMY,019D,AT7,3BNBO,NO,Female,35-44,Myanmar,negative,-0.96353,Non-refundable non-refundable statement,negative,1,0.133783,0.055424,0.026868,0.109978,0.408508,,
Detractor,Bkg Site: Appreciate Comments,en,Promotional offers that last longer and make affording travel easier for Mauritians knowing the currency is weak. ,Promotional offers that last longer and make affording travel easier for Mauritians knowing the currency is weak. ,More promotional offers,Neutral,MRU-LHR,NK5042,13/04/2019,ECONOMY,011G,343C,3BNBE,NO,Female,45-54,Mauritius,negative,-0.843564,Promotional offers,negative,0.997681,0.100044,0.033638,0.065522,0.219644,0.432092,,
